Category ,Platform A,Choice,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,Platform B,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
following celebrities or influencers,Twitter,1,21591,1179,228,90.45650585,25.79829175,5.709328648,1.111158822,5.176620024,369,18.44297082,1330.366048,Instagram ,4189,2094,187,6.697365536,1.425678424,4.48360724,1.332954575,3.773553415,29,79.20689655,2846.793103
following celebrities or influencers,Twitter,1,4321482,259,32741,7068.594081,3773.248759,2.101994023,0.339522141,10.21653167,25313,11.30328061,1404.195349,Instagram ,228,302,3,0.583979388,0.100503359,0.100503359,0.100503359,0.362150068,2,166.5,11355
following celebrities or influencers,Twitter,1,683346,814,34915,646.3417461,319.6201171,3.704088301,0.364792964,5.127670108,2380,55.09264645,1363.710012,Instagram ,7939,1437,243,5.214460057,0.705183728,0.100503359,0.100503359,0.100503359,20,54.57142857,1620.190476
following celebrities or influencers,Twitter,1,2651,2838,195,15.75812622,5.319354395,14.17829981,1.368779512,6.621654561,60,89.03174603,3293.31746,Instagram ,24437,279,52,12.3557961,7.144266756,2.135767312,0.599382241,4.666364775,50,117.0980392,6075.882353
following celebrities or influencers,Twitter,1,1040229,725,13675,1420.43804,573.5926953,2.807441782,0.860356879,9.028718324,4970,83.0368755,4524.141554,Instagram ,5685,942,477,30.13122089,1.649977649,5.312394518,0.100503359,4.819142948,111,224.2252252,7527.405405
following celebrities or influencers,Twitter,1,6118,4005,460,18.0701791,5.496056236,7.676639046,0.100503359,4.995518355,61,130.6875,2556.28125,Instagram ,2965,1627,85,2.129683406,0.532967063,1.33511146,0.598150194,1.327721156,9,99.66666667,2177.666667
following celebrities or influencers,Twitter,1,8168488,76,25928,2821.694234,787.5112742,2.605210663,0.583369585,2.381687112,9896,11.97713598,2056.461592,Instagram ,266407,1592,6734,660.8972631,297.0903327,28.25799996,0.839682343,20.72266499,2376,66.39598997,2706.108187
following celebrities or influencers,Twitter,1,33669,29327,883,128.414854,23.91963066,6.556255018,0.339522141,12.29220538,228,72.77922078,3492.194805,Instagram ,3106,3232,47,4.12499755,2.571112801,0.100503359,0.100503359,1.109067979,17,5,531.9444444
following celebrities or influencers,Twitter,0,5996,906,192,15.05020801,3.330828376,0.837168976,0.349326776,0.588345558,68,50.64705882,1483.985294,Instagram ,1641075,695,14343,5237.291049,1080.583726,17.63611167,3.392829961,6.622205864,15102,9.583602027,1249.680529
following celebrities or influencers,Twitter,1,1445520,260,6737,52.17908957,13.56472234,3.463561343,1.062120172,2.771270012,219,260.739726,13653.17352,Instagram ,598,600,11,12.53297639,0.100503359,3.069584115,0.100503359,2.764762084,30,53.63636364,1453.636364
following celebrities or influencers,Twitter,1,488750,320,3673,1207.190077,599.7216,0.842022025,0.593198607,7.044734545,3918,7.859817814,637.9832996,Instagram ,3764,703,222,5.270620537,1.601158569,2.338332561,0.100503359,1.59653867,18,139.4444444,4573.888889
following celebrities or influencers,Twitter,1,185616,1001,15117,266.0138739,54.34523042,13.11190375,0.334765667,13.66517257,928,172.9862288,5321.646186,Instagram ,228,302,3,0.583979388,0.100503359,0.100503359,0.100503359,0.362150068,2,166.5,11355
following celebrities or influencers,Twitter,1,173872,2804,16328,346.5474983,85.7971307,6.812973884,1.337915226,7.574686688,1323,268.1329827,9307.214876,Instagram ,100151,31383,4679,286.9417384,37.79996412,6.663615138,0.100503359,8.464206735,758,120.1950585,4332.485046
following celebrities or influencers,Twitter,0,335,469,16,0.100503359,0.100503359,0.100503359,0.100503359,0.100503359,0,0,0,Instagram ,501043,3289,6694,307.8053912,72.5250702,2.103644113,0.60409115,2.832401376,1093,70.65880218,4390.37931
following celebrities or influencers,Twitter,1,219,148,8,0.758307371,0.100503359,0.100503359,0.100503359,0.100503359,3,205,3922.666667,Instagram ,2696,1718,20,4.237051754,0.321056672,0.586102452,0.100503359,0.837439237,18,84.94444444,2656.888889
following celebrities or influencers,Twitter,1,1891961,302,56637,1595.795232,808.3039285,2.476541752,1.051846156,7.46288494,5950,66.64190981,2917.682527,Instagram ,6839015,968,47559,3488.251462,566.630977,21.50800889,5.660926952,15.68925138,14107,41.67139148,5188.992702
following celebrities or influencers,Twitter,1,5151,2195,213,23.00439711,13.52950273,4.849392376,2.588298595,4.371197408,95,96.58762887,2232.690722,Instagram ,1433,249,113,0.339522141,0.100503359,0.359533601,0.100503359,0.867284683,1,0,0
following celebrities or influencers,Twitter,0,228,302,3,0.583979388,0.100503359,0.100503359,0.100503359,0.362150068,2,166.5,11355,Instagram ,130878,5409,378,14.44166406,5.673753982,0.875213638,0.100503359,26.19189303,51,18.90196078,4006.686275
following celebrities or influencers,Twitter,1,138235,780,1415,267.4365113,128.7078828,32.38155115,3.495342668,26.6084698,852,27.47856315,4345.216686,Instagram ,132100,56571,1780,388.2107872,13.79012075,25.92191397,0.341936472,17.59384702,804,271.1167076,12786.25184
following celebrities or influencers,Twitter,0,85138,67047,5103,150.3404561,68.11736575,5.480348974,0.100503359,71.87927375,568,205.8832753,9580.39547,Instagram ,48711,22845,932,61.92480424,18.57890109,0.100503359,0.100503359,0.100503359,229,80.34334764,4431.682403
following celebrities or influencers,Twitter,0,2070,1350,197,5.933814519,0.581683383,0.598778662,0.100503359,0.598778662,19,175.6842105,3210.789474,Instagram ,627,441,47,5.28590397,0.295998479,2.479597157,0.339522141,1.298772668,20,98.35,1981.6
following celebrities or influencers,Twitter,0,1720,540,151,5.161848286,1.181624988,2.324112453,0.608895669,3.813660827,14,94.5,1823.428571,Instagram ,203788,1069,5439,1043.235953,558.2136562,20.64364329,1.371207871,22.23138596,3048,59.96437824,1554.076101
following celebrities or influencers,Twitter,0,739581,10723,1279,102.0267501,96.77131855,1.537321816,1.054358039,3.467753982,432,11.19168591,966.1939954,Instagram ,864557,7352,19561,5744.732819,5311.507204,14.29579022,0.351840144,14.76374919,3641,65.87326203,3279.479679
following celebrities or influencers,Twitter,0,102116,293,970,1729.451634,763.6597393,30.82997666,8.568366922,93.31157133,4067,12.31026948,1636.379704,Instagram ,54453,7688,2597,115.3233572,22.75288316,16.86771842,2.092498504,10.74683839,441,258.0514541,8569.149888
following celebrities or influencers,Twitter,0,794,892,32,1.336914175,0.362150068,1.059212559,0.337131953,0.822583964,4,0,68.5,Instagram ,638283,150,1492,20677.88345,5606.964451,1.326086999,0.100503359,33.68290205,56196,0.947575406,480.5420134
following celebrities or influencers,Twitter,0,148,398,2,0.100503359,0.100503359,0.100503359,0.100503359,0.100503359,0,0,0,Instagram ,364,927,6,0.551680478,0.310247365,0.834980863,0.339522141,0.832590675,2,1.5,122
following celebrities or influencers,Twitter,1,132100,56571,1780,388.2107872,13.79012075,25.92191397,0.341936472,17.59384702,804,271.1167076,12786.25184,Instagram ,279,40,15,0.294043527,0.294043527,0.100503359,0.100503359,0.100503359,1,1,37
following celebrities or influencers,Twitter,1,39262,848,1610,40.4950207,8.943606915,3.2276769,0.564342729,1.070320709,163,132.0306748,2931.515337,Instagram ,3764,703,222,5.270620537,1.601158569,2.338332561,0.100503359,1.59653867,18,139.4444444,4573.888889
following celebrities or influencers,Twitter,0,1706188,402,12138,837.5800523,93.56984817,7.621259366,2.60905999,4.866270991,2597,21.28910134,1937.639388,Instagram ,5922518,483,7594,65758.40354,32054.0556,1.61241011,0.100503359,2.631606754,187674,6.015693853,1199.636812
following celebrities or influencers,Twitter,1,108768,57,62,0.762978431,0.306073459,3.611939649,3.370506536,10.60050154,3,7.333333333,1022.333333,Instagram ,3525,3115,131,0.100503359,0.100503359,0.100503359,0.100503359,0.100503359,0,0,0
following celebrities or influencers,Twitter,1,5501,5908,400,7.19638941,2.635722866,1.772288783,0.341936472,0.825192942,28,86.32142857,1704.928571,Instagram ,323,542,6,0.100503359,0.100503359,0.100503359,0.100503359,0.608280084,0,0,0
following celebrities or influencers,Twitter,0,127,106,4,1.093772443,0.100503359,0.367462556,0.100503359,0.623902496,5,105.4,1190,Instagram ,828774,904,13109,374.3698693,95.27456119,2.57321391,1.587396589,2.314183668,1539,53.48880358,3771.863084
following celebrities or influencers,Twitter,1,3741,1635,242,0.565491078,0.316667661,0.100503359,0.100503359,0.351840144,2,0,7.5,Instagram ,671,215,17,0.354378899,0.100503359,0.100503359,0.100503359,0.100503359,1,1,148
following celebrities or influencers,Twitter,1,2260661,233,12680,13580.62944,1883.090015,27.18280159,13.09838332,18.34972182,35645,16.87001748,2092.420044,Instagram ,32342,2622,1061,64.64188177,21.49213085,22.25028766,0.583369585,27.51283755,271,184.2977941,7245.231618
following celebrities or influencers,Twitter,0,41765,185,1356,1529.643058,282.8585001,76.80951445,5.392171096,104.4386255,3307,50.13204173,3585.789866,Instagram ,513424,6,10043,755.6325931,364.7131373,4.765334887,0.586102452,6.59206719,3166,22.89159638,1386.830366
following celebrities or influencers,Twitter,1,1203,689,67,0.581003784,0.581003784,1.642786259,0.100503359,2.153153287,2,0.5,317.5,Instagram ,676,243,43,1.982530863,1.360640618,0.100503359,0.100503359,36.40163972,6,4.666666667,269.5
following celebrities or influencers,Twitter,1,7554,1711,181,21.60186597,3.581661127,6.764657043,1.119726699,4.563246324,85,48.5,1993.627907,Instagram ,655,562,33,1.151363202,0.100503359,0.573760547,0.100503359,0.569051638,2,10,602.5
following celebrities or influencers,Twitter,1,254,341,9,6.525792408,1.157975238,1.33289796,0.351840144,1.567160268,21,74.33333333,2138.238095,Instagram ,1271,1503,59,0.297973177,0.297973177,0.100503359,0.100503359,0.100503359,1,0,12
following celebrities or influencers,Twitter,1,504004,3109,12772,311.8003107,142.6332289,4.486090163,1.049407923,4.806823324,1280,48.53281853,1554.489575,Instagram ,4947410,112,26319,1774.213927,830.8994754,0.100503359,0.100503359,0.100503359,7321,26.54419364,3068.022437
following celebrities or influencers,Twitter,0,26821,24787,144,8.148719827,7.707475357,1.058992818,1.058992818,42.47171266,12,121.6428571,15764.21429,Instagram ,1203,689,67,0.581003784,0.581003784,1.642786259,0.100503359,2.153153287,2,0.5,317.5
following celebrities or influencers,Twitter,0,21,193,0,0.100503359,0.100503359,0.100503359,0.100503359,0.351840144,0,0,0,Instagram ,15002,1945,670,98.50741684,20.95770893,25.64641411,0.839508908,23.35146241,350,83.4039548,3133.562147
following celebrities or influencers,Twitter,0,462071,331717,890,201.09843,136.2515773,0.100503359,0.100503359,0.100503359,728,24.63387978,2543.060109,Instagram ,366460,466,3381,1167.89693,415.2639139,49.91863286,8.061556718,82.53517664,3450,17.91435912,1464.346275
following celebrities or influencers,Twitter,0,462071,331717,890,201.09843,136.2515773,0.100503359,0.100503359,0.100503359,728,24.63387978,2543.060109,Instagram ,828774,904,13109,374.3698693,95.27456119,2.57321391,1.587396589,2.314183668,1539,53.48880358,3771.863084
following celebrities or influencers,Twitter,1,79727,555,3913,85.05533519,40.9440298,2.836082459,0.100503359,2.808955202,371,201.3962766,4886.99734,Instagram ,2964,1074,227,2.183182308,0.766326554,1.542541996,0.100503359,1.310622311,7,119.7142857,39101.42857
following celebrities or influencers,Twitter,0,3525,3115,131,0.100503359,0.100503359,0.100503359,0.100503359,0.100503359,0,0,0,Instagram ,3081505,119234,316,19.17301992,9.949510803,0.100503359,0.100503359,0.100503359,66,55.64179104,17588.0597
following celebrities or influencers,Twitter,0,228,302,3,0.583979388,0.100503359,0.100503359,0.100503359,0.362150068,2,166.5,11355,Instagram ,513424,6,10043,755.6325931,364.7131373,4.765334887,0.586102452,6.59206719,3166,22.89159638,1386.830366
following celebrities or influencers,Twitter,1,2774790,20342,15836,5088.577165,6.183080679,0.810460608,0.339522141,1.081757307,18549,4.78133907,454.9678946,Instagram ,671,215,17,0.354378899,0.100503359,0.100503359,0.100503359,0.100503359,1,1,148
following celebrities or influencers,Twitter,0,11018,160,447,2.928974511,0.880196779,0.100503359,0.100503359,0.590858926,9,19.5,1779.7,Instagram ,739581,10723,1279,102.0267501,96.77131855,1.537321816,1.054358039,3.467753982,432,11.19168591,966.1939954
following celebrities or influencers,Twitter,0,708,631,26,18.77670307,5.999680593,7.747919476,4.967946648,10.6918785,52,33.20754717,876.4339623,Instagram ,100151,31383,4679,286.9417384,37.79996412,6.663615138,0.100503359,8.464206735,758,120.1950585,4332.485046
following celebrities or influencers,Twitter,0,20542,635,142,10.99055651,1.454656744,1.095797028,0.598150194,2.077718034,40,35.45238095,2758.52381,Instagram ,11427,1951,1069,31.20189707,9.467739321,12.70863997,1.091425381,16.99421869,126,322.8425197,6522.992126
following celebrities or influencers,Twitter,1,163145,906,4475,182.1755684,78.04320237,11.60766804,3.59001979,9.605154521,688,82.93865906,1809.650499,Instagram ,267,352,8,0.301982614,0.100503359,0.334765667,0.100503359,0.566685352,1,92,1299
following celebrities or influencers,Twitter,0,98788,2354,5610,385.7953553,172.1834301,8.361112757,5.092200727,10.77741899,1330,61.63973314,2080.33358,Instagram ,39262,848,1610,40.4950207,8.943606915,3.2276769,0.564342729,1.070320709,163,132.0306748,2931.515337
following celebrities or influencers,Twitter,1,322682,37601,22232,176.5337159,42.33022138,6.849227229,1.345073398,4.359865448,696,234.3380682,7168.464489,Instagram ,103607,53468,3137,48.04870211,25.09294467,0.100503359,0.100503359,0.100503359,203,30.09313725,3217.367647
following celebrities or influencers,Twitter,0,631958,674,7522,614.9687449,329.330091,4.052278956,1.340565773,12.30503544,2536,35.83865939,2231.568979,Instagram ,454514,1479,5187,455.1806152,293.8395583,30.1880544,0.100503359,21.06319645,1793,159.0059621,5756.679133
following celebrities or influencers,Twitter,0,7271,335,417,8.786665588,5.87623095,0.367462556,0.100503359,0.367462556,40,79.125,1841.3,Instagram ,739581,10723,1279,102.0267501,96.77131855,1.537321816,1.054358039,3.467753982,432,11.19168591,966.1939954
following celebrities or influencers,Twitter,1,508213,554,16338,3619.31077,878.3102338,7.828675702,2.267574259,23.62132386,12453,47.61790808,2314.93336,Instagram ,103607,53468,3137,48.04870211,25.09294467,0.100503359,0.100503359,0.100503359,203,30.09313725,3217.367647
following celebrities or influencers,Twitter,1,3893,1059,168,3.260473308,1.051286304,1.100823764,0.100503359,1.100823764,15,95.8,2188.733333,Instagram ,708,631,26,18.77670307,5.999680593,7.747919476,4.967946648,10.6918785,52,33.20754717,876.4339623
following celebrities or influencers,Twitter,1,1259676,337,6109,908.6493215,211.333671,12.02178122,7.56564294,12.79238145,3366,10.04866608,1326.842861,Instagram ,3081505,119234,316,19.17301992,9.949510803,0.100503359,0.100503359,0.100503359,66,55.64179104,17588.0597
following celebrities or influencers,Twitter,1,7157,73,82,8.691432094,2.642132008,0.346838542,0.100503359,2.593923684,31,29.48387097,4767.290323,Instagram ,60,146,0,0.356943299,0.100503359,0.339522141,0.100503359,1.119229335,1,172,4592
following celebrities or influencers,Twitter,0,3671,383,170,0.510745391,0.321056672,0.100503359,0.100503359,0.100503359,2,77.5,1608.5,Instagram ,74798,433,3145,258.1573797,78.71171648,8.869654352,0.100503359,10.12651523,987,155.6965726,6433.882056
following celebrities or influencers,Twitter,0,177796,0,6870,9.148384108,5.322694593,0.100503359,0.100503359,0.100503359,42,66.61904762,1681.238095,Instagram ,5941,1615,278,39.58957118,3.866453078,1.515953071,0.100503359,1.281690763,116,63.99152542,2503.949153
following celebrities or influencers,Twitter,0,3106,3232,47,4.12499755,2.571112801,0.100503359,0.100503359,1.109067979,17,5,531.9444444,Instagram ,28613,3557,9,0.751434251,0.295998479,0.100503359,0.100503359,0.100503359,3,2.666666667,218.3333333
following celebrities or influencers,Twitter,1,92462,692,5259,141.5032042,35.28974662,3.787262788,0.596412376,3.041914981,578,97.38593482,4638.421955,Instagram ,314,398,11,2.911756281,0.503461869,1.546347246,0.332423044,1.333844661,9,16.11111111,495.7777778
following celebrities or influencers,Twitter,0,186557,90762,3166,489.1063787,75.76887767,0.100503359,0.100503359,0.100503359,764,309.2204929,20356.01556,Instagram ,173872,2804,16328,346.5474983,85.7971307,6.812973884,1.337915226,7.574686688,1323,268.1329827,9307.214876
following celebrities or influencers,Twitter,1,392738,9364,3354,258.523924,124.4715404,7.471339626,0.595962081,10.99913362,973,41.01621074,3042.892604,Instagram ,96531,87,363,81.56173426,43.32146495,6.59024511,2.339133238,12.08964461,296,9.208754209,2112.074074
following celebrities or influencers,Twitter,0,1043,974,31,0.100503359,0.100503359,1.134269524,0.100503359,1.637349347,0,0,0,Instagram ,480412,11948,16294,1795.525546,685.5750438,4.534987444,1.318140223,15.82591557,6867,60.81466192,2695.612527
following celebrities or influencers,Twitter,0,6119,382,417,8.485917699,3.285058478,0.58595537,0.100503359,0.58595537,32,145.65625,2851.40625,Instagram ,1433,249,113,0.339522141,0.100503359,0.359533601,0.100503359,0.867284683,1,0,0
following celebrities or influencers,Twitter,0,65264,956,2672,226.7635499,72.14540532,3.781664532,2.047937242,3.063719197,887,68.70819304,1766.30752,Instagram ,1352348,331,15647,19129.84866,14552.73399,2.065418033,0.580955254,16.2815025,52580,3.092447697,597.5636364
following celebrities or influencers,Twitter,0,6231,555,479,67.57738263,26.92399055,1.833267817,0.346838542,4.774050789,230,209.7296137,5612.39485,Instagram ,356712,2070,2804,24.82391035,4.468126034,2.144406357,0.605766716,1.627038907,92,258.2553191,8133
following celebrities or influencers,Twitter,1,725,645,44,4.108298711,0.709693062,1.568909382,0.83470637,1.832664977,15,128.8,2381.466667,Instagram ,85138,67047,5103,150.3404561,68.11736575,5.480348974,0.100503359,71.87927375,568,205.8832753,9580.39547
following celebrities or influencers,Twitter,1,322682,37601,22232,176.5337159,42.33022138,6.849227229,1.345073398,4.359865448,696,234.3380682,7168.464489,Instagram ,254,534,1,3.453648517,0.277305641,0.810484751,0.341936472,1.276666745,12,6.75,573.9166667
following celebrities or influencers,Twitter,0,7554,1711,181,21.60186597,3.581661127,6.764657043,1.119726699,4.563246324,85,48.5,1993.627907,Instagram ,1043,974,31,0.100503359,0.100503359,1.134269524,0.100503359,1.637349347,0,0,0
following celebrities or influencers,Twitter,0,23230,495,826,118.0524319,56.66829265,6.373205373,0.840719745,9.827004944,466,105.2106383,3589.004255,Instagram ,120772,468,6248,660.3840858,145.5393313,5.02997589,2.313890145,6.305116118,2302,60.59658849,2013.164606
following celebrities or influencers,Twitter,0,3166413,276,603,1253.345429,980.1209265,12.96342523,2.380018078,100.5377967,4801,7.906173842,1694.698822,Instagram ,322682,37601,22232,176.5337159,42.33022138,6.849227229,1.345073398,4.359865448,696,234.3380682,7168.464489
following celebrities or influencers,Twitter,1,100836,144,1781,512.4444929,143.8932641,4.589756622,1.844931707,5.110850601,1743,30.7592068,1251.028329,Instagram ,708,631,26,18.77670307,5.999680593,7.747919476,4.967946648,10.6918785,52,33.20754717,876.4339623
following celebrities or influencers,Twitter,1,1352348,331,15647,19129.84866,14552.73399,2.065418033,0.580955254,16.2815025,52580,3.092447697,597.5636364,Instagram ,103607,53468,3137,48.04870211,25.09294467,0.100503359,0.100503359,0.100503359,203,30.09313725,3217.367647
following celebrities or influencers,Twitter,0,92462,692,5259,141.5032042,35.28974662,3.787262788,0.596412376,3.041914981,578,97.38593482,4638.421955,Instagram ,11427,1951,1069,31.20189707,9.467739321,12.70863997,1.091425381,16.99421869,126,322.8425197,6522.992126
following celebrities or influencers,Twitter,1,1706188,402,12138,837.5800523,93.56984817,7.621259366,2.60905999,4.866270991,2597,21.28910134,1937.639388,Instagram ,279,40,15,0.294043527,0.294043527,0.100503359,0.100503359,0.100503359,1,1,37
following celebrities or influencers,Twitter,1,67736,30523,1948,48.7654172,14.02911332,12.2462332,0.100503359,9.000103709,190,153.703125,4391.677083,Instagram ,100836,144,1781,512.4444929,143.8932641,4.589756622,1.844931707,5.110850601,1743,30.7592068,1251.028329
following celebrities or influencers,Twitter,1,4491415,756,29876,4499.996251,2206.571898,26.96692474,12.62828272,29.06982195,16646,22.74772633,2206.420734,Instagram ,404679,3866,7149,89.01504873,10.43678004,14.18948242,0.830095012,8.070898365,322,250.0582822,7562.352761
following celebrities or influencers,Twitter,1,138235,780,1415,267.4365113,128.7078828,32.38155115,3.495342668,26.6084698,852,27.47856315,4345.216686,Instagram ,130850,3394,449,92.86965112,16.53848389,2.548047615,0.100503359,3.036687975,355,102.5730028,10481.73554
following celebrities or influencers,Twitter,0,508213,554,16338,3619.31077,878.3102338,7.828675702,2.267574259,23.62132386,12453,47.61790808,2314.93336,Instagram ,44027,113,2344,45.20422152,20.36896688,1.116158362,0.100503359,0.859718422,188,112.1914894,2122.702128
following celebrities or influencers,Twitter,1,7147,737,112,2.332989727,0.71455634,0.862129981,0.100503359,1.357588703,11,13.27272727,520.1818182,Instagram ,335,469,16,0.100503359,0.100503359,0.100503359,0.100503359,0.100503359,0,0,0
following celebrities or influencers,Twitter,1,7360339,95,43590,12473.15006,9597.001073,5.323947293,1.353623527,8.266238728,46906,7.320319919,838.4865891,Instagram ,39262,848,1610,40.4950207,8.943606915,3.2276769,0.564342729,1.070320709,163,132.0306748,2931.515337
following celebrities or influencers,Twitter,0,25195,1443,15,1.661163736,0.100503359,0.354378899,0.354378899,5.062816338,4,6,6531,Instagram ,186557,90762,3166,489.1063787,75.76887767,0.100503359,0.100503359,0.100503359,764,309.2204929,20356.01556
following celebrities or influencers,Twitter,1,1912232,33395,14891,38159.53861,131.9544457,2.173241402,0.623796778,4.143115243,21964,19.24536275,1027.420978,Instagram ,34463,29808,1689,15.43049762,3.984028805,8.204331198,0.332423044,6.988814957,66,75.53030303,1916.893939
following celebrities or influencers,Twitter,1,1040229,725,13675,1420.43804,573.5926953,2.807441782,0.860356879,9.028718324,4970,83.0368755,4524.141554,Instagram ,57840,27137,5245,271.7598603,35.95580416,13.07938778,0.100503359,12.64288125,890,294.1707317,8733.976718
following celebrities or influencers,Twitter,1,11147,1500,474,40.59251241,5.923008807,19.64806445,1.861765207,12.26102921,128,107.4318182,2481.136364,Instagram ,671,215,17,0.354378899,0.100503359,0.100503359,0.100503359,0.100503359,1,1,148
following celebrities or influencers,Twitter,1,2774790,20342,15836,5088.577165,6.183080679,0.810460608,0.339522141,1.081757307,18549,4.78133907,454.9678946,Instagram ,335,469,16,0.100503359,0.100503359,0.100503359,0.100503359,0.100503359,0,0,0
following celebrities or influencers,Twitter,0,5501,5908,400,7.19638941,2.635722866,1.772288783,0.341936472,0.825192942,28,86.32142857,1704.928571,Instagram ,196692,2339,4626,710.7490998,310.2197221,9.735097305,5.092675817,17.02822609,2689,39.55689718,2039.958288
following celebrities or influencers,Twitter,0,1010,1014,62,0.957689623,0.100503359,1.047017735,0.337131953,0.337131953,4,154.75,1705,Instagram ,6232,551,221,5.079484188,1.05350499,2.089793752,0.837439237,1.347754718,16,23.17647059,755.1176471
following celebrities or influencers,Twitter,0,44034,2974,3456,223.9145258,85.60517627,23.68867081,9.26024468,21.05030968,871,332.8233296,9018.235561,Instagram ,48777,858,1236,247.2387454,74.10349225,3.031695655,1.816746114,21.17569608,997,32.90277778,1871.071429
following celebrities or influencers,Twitter,0,95,120,3,0.356943299,0.100503359,0.356943299,0.356943299,0.356943299,1,0,0,Instagram ,1203,689,67,0.581003784,0.581003784,1.642786259,0.100503359,2.153153287,2,0.5,317.5
following celebrities or influencers,Twitter,1,282305,2114,1664,38.81280943,14.16103994,7.518898903,0.837941585,5.010178747,168,379.3117647,32020.81176,Instagram ,1720,540,151,5.161848286,1.181624988,2.324112453,0.608895669,3.813660827,14,94.5,1823.428571
following celebrities or influencers,Twitter,0,7271,335,417,8.786665588,5.87623095,0.367462556,0.100503359,0.367462556,40,79.125,1841.3,Instagram ,627949,150866,6820,246.4038455,74.70542952,21.260939,1.320681034,15.27806577,683,235.7872648,11977.04342
following celebrities or influencers,Twitter,0,1354,375,22,12.85534197,6.214199544,3.226600505,1.537883539,3.251456476,35,43.31428571,1991.171429,Instagram ,25195,1443,15,1.661163736,0.100503359,0.354378899,0.354378899,5.062816338,4,6,6531
following celebrities or influencers,Twitter,1,6232,551,221,5.079484188,1.05350499,2.089793752,0.837439237,1.347754718,16,23.17647059,755.1176471,Instagram ,2403,1,75,40.23655336,31.45870835,51.62000484,0.100503359,42.63042631,147,10.02721088,1486.306122
following celebrities or influencers,Twitter,0,3764,703,222,5.270620537,1.601158569,2.338332561,0.100503359,1.59653867,18,139.4444444,4573.888889,Instagram ,4491415,756,29876,4499.996251,2206.571898,26.96692474,12.62828272,29.06982195,16646,22.74772633,2206.420734
following celebrities or influencers,Twitter,1,263614,759,8805,110.4102599,26.55712327,1.623833794,0.100503359,1.118621468,454,96.04357298,2606.679739,Instagram ,3106,3232,47,4.12499755,2.571112801,0.100503359,0.100503359,1.109067979,17,5,531.9444444
following celebrities or influencers,Twitter,0,867,413,52,10.90634919,2.359024069,3.975177064,1.12441792,2.635947157,32,66.91176471,1119.441176,Instagram ,404679,3866,7149,89.01504873,10.43678004,14.18948242,0.830095012,8.070898365,322,250.0582822,7562.352761
following celebrities or influencers,Twitter,1,1209835,3,12226,86.82008384,18.45810958,0.100503359,0.100503359,0.100503359,390,36.5255102,2729.609694,Instagram ,794,892,32,1.336914175,0.362150068,1.059212559,0.337131953,0.822583964,4,0,68.5
following celebrities or influencers,Twitter,0,314,398,11,2.911756281,0.503461869,1.546347246,0.332423044,1.333844661,9,16.11111111,495.7777778,Instagram ,7185698,30,29179,29146.95646,18082.7436,0.100503359,0.100503359,4.502396413,88154,4.061065794,649.1564853
following celebrities or influencers,Twitter,1,48777,858,1236,247.2387454,74.10349225,3.031695655,1.816746114,21.17569608,997,32.90277778,1871.071429,Instagram ,871652,140,13838,133.2133449,56.02774731,2.622550291,1.121160223,2.622550291,562,135.1584507,5187.5
following celebrities or influencers,Twitter,1,44027,113,2344,45.20422152,20.36896688,1.116158362,0.100503359,0.859718422,188,112.1914894,2122.702128,Instagram ,1010,1014,62,0.957689623,0.100503359,1.047017735,0.337131953,0.337131953,4,154.75,1705
following celebrities or influencers,Twitter,0,1140,927,69,0.577496612,0.100503359,0.341936472,0.100503359,0.341936472,2,14.5,1206.5,Instagram ,126738,779,4115,171.8195552,37.29428527,4.411322664,1.530222492,4.202882585,690,126.0441595,3627.968661
following celebrities or influencers,Twitter,0,2651,2838,195,15.75812622,5.319354395,14.17829981,1.368779512,6.621654561,60,89.03174603,3293.31746,Instagram ,7554,1711,181,21.60186597,3.581661127,6.764657043,1.119726699,4.563246324,85,48.5,1993.627907
following celebrities or influencers,Twitter,0,6777,344,315,1.924042633,0.588641208,2.062052553,1.076263908,1.330139448,7,58.25,1299.5,Instagram ,5629637,51683,54624,4894.901216,2375.07856,5.949829394,0.862666018,6.839463012,20125,17.23684211,1353.646477
following celebrities or influencers,Twitter,1,1445520,260,6737,52.17908957,13.56472234,3.463561343,1.062120172,2.771270012,219,260.739726,13653.17352,Instagram ,488750,320,3673,1207.190077,599.7216,0.842022025,0.593198607,7.044734545,3918,7.859817814,637.9832996
following celebrities or influencers,Twitter,0,1720,540,151,5.161848286,1.181624988,2.324112453,0.608895669,3.813660827,14,94.5,1823.428571,Instagram ,17842623,46964,90405,16377.1729,5728.958951,0.362150068,0.100503359,1.608248058,61013,10.57403878,1376.618332
following celebrities or influencers,Twitter,1,67736,30523,1948,48.7654172,14.02911332,12.2462332,0.100503359,9.000103709,190,153.703125,4391.677083,Instagram ,24437,279,52,12.3557961,7.144266756,2.135767312,0.599382241,4.666364775,50,117.0980392,6075.882353
following celebrities or influencers,Twitter,1,17842623,46964,90405,16377.1729,5728.958951,0.362150068,0.100503359,1.608248058,61013,10.57403878,1376.618332,Instagram ,5685,942,477,30.13122089,1.649977649,5.312394518,0.100503359,4.819142948,111,224.2252252,7527.405405
